priority,gap_type,risk_range,app_id,app_name,detail,recommended_action,responsible_owner,deadline,deadline_days
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP002,SAP Finance ERP,Connection CONN0006 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP005,Freight Booking Platform,Connection CONN0019 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP006,Port Operations Dashboard,Connection CONN0027 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP011,VPN & Remote Access Gateway,Connection CONN0050 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP034,SIEM Splunk,Connection CONN0136 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP035,Privileged Access Workstation,Connection CONN0140 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP050,Audit Management System,Connection CONN0194 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP053,Sanctions Screening Tool,Connection CONN0206 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP069,Kubernetes Cluster AKS,Connection CONN0239 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,STALE_REVIEW,HIGH,APP001,SAP HR Core,Last reviewed 440 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP001,SAP HR Core,Last reviewed 681 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP003,Vessel Tracking System,Last reviewed 724 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP004,Customer Portal,Last reviewed 479 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP009,Legal Document Management,Last reviewed 453 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP010,Email Gateway,Last reviewed 702 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP011,VPN & Remote Access Gateway,Last reviewed 764 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP011,VPN & Remote Access Gateway,Last reviewed 218 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP013,Azure AD,Last reviewed 306 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP013,Azure AD,Last reviewed 728 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP013,Azure AD,Last reviewed 241 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP014,CEVA Logistics TMS,Last reviewed 268 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP019,Risk Management System,Last reviewed 644 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP019,Risk Management System,Last reviewed 280 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP022,Crew Management System,Last reviewed 296 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP025,Invoice Processing System,Last reviewed 370 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP030,Compliance Reporting Tool,Last reviewed 673 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP035,Privileged Access Workstation,Last reviewed 671 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP036,Backup & Recovery System,Last reviewed 534 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP041,Whistleblowing Platform,Last reviewed 257 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP043,Container Planning System,Last reviewed 743 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP045,Rate Management System,Last reviewed 319 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP045,Rate Management System,Last reviewed 751 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP049,Tax Management System,Last reviewed 323 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP050,Audit Management System,Last reviewed 746 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP052,M&A Dataroom,Last reviewed 552 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP053,Sanctions Screening Tool,Last reviewed 583 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP054,Anti-Money Laundering System,Last reviewed 399 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP071,Legacy Billing System,Last reviewed 400 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP071,Legacy Billing System,Last reviewed 576 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,MISSING_CONNECTION,HIGH,APP003,Vessel Tracking System,Required IAM product IAM002 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP004,Customer Portal,Required IAM product IAM005 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP009,Legal Document Management,Required IAM product IAM005 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP010,Email Gateway,Required IAM product IAM002 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP013,Azure AD,Required IAM product IAM001 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP013,Azure AD,Required IAM product IAM005 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP014,CEVA Logistics TMS,Required IAM product IAM004 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP016,Container Tracking API,Required IAM product IAM005 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP018,Trade Finance Platform,Required IAM product IAM003 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP018,Trade Finance Platform,Required IAM product IAM004 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP025,Invoice Processing System,Required IAM product IAM001 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP030,Compliance Reporting Tool,Required IAM product IAM001 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP034,SIEM Splunk,Required IAM product IAM001 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP036,Backup & Recovery System,Required IAM product IAM001 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP036,Backup & Recovery System,Required IAM product IAM004 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP036,Backup & Recovery System,Required IAM product IAM005 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP040,GDPR Data Subject Request Tool,Required IAM product IAM002 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP041,Whistleblowing Platform,Required IAM product IAM001 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP045,Rate Management System,Required IAM product IAM002 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP050,Audit Management System,Required IAM product IAM005 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP051,Board Portal,Required IAM product IAM001 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP051,Board Portal,Required IAM product IAM005 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP052,M&A Dataroom,Required IAM product IAM004 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP054,Anti-Money Laundering System,Required IAM product IAM003 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP054,Anti-Money Laundering System,Required IAM product IAM004 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP069,Kubernetes Cluster AKS,Required IAM product IAM001 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP069,Kubernetes Cluster AKS,Required IAM product IAM004 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP070,API Gateway,Required IAM product IAM001 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP070,API Gateway,Required IAM product IAM004 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
CRITICAL,MISSING_CONNECTION,HIGH,APP071,Legacy Billing System,Required IAM product IAM005 not connected,Connect application to required IAM product immediately. Raise change request.,iam_team,2026-03-16,7
HIGH,UNDOCUMENTED_CONNECTION,MEDIUM,APP065,Project Management Jira,Connection CONN0228 has no documented status,Review and document connection status within 7 days.,application_owner,2026-03-16,7
HIGH,UNKNOWN_OWNER,MEDIUM,APP035,Privileged Access Workstation,No registered application owner,Assign owner within 7 days.,department_head,2026-03-16,7
HIGH,UNKNOWN_OWNER,MEDIUM,APP057,Dev Test Environment,No registered application owner,Assign owner within 7 days.,department_head,2026-03-16,7
HIGH,UNKNOWN_OWNER,MEDIUM,APP064,Internal Wiki Confluence,No registered application owner,Assign owner within 7 days.,department_head,2026-03-16,7
HIGH,UNKNOWN_OWNER,MEDIUM,APP070,API Gateway,No registered application owner,Assign owner within 7 days.,department_head,2026-03-16,7
HIGH,STALE_REVIEW,MEDIUM,APP026,CRM Salesforce,Last reviewed 239 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,STALE_REVIEW,MEDIUM,APP027,Marketing Automation,Last reviewed 282 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,STALE_REVIEW,MEDIUM,APP028,Business Intelligence Platform,Last reviewed 619 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,STALE_REVIEW,MEDIUM,APP047,Warehouse Management System,Last reviewed 256 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,STALE_REVIEW,MEDIUM,APP056,Port Community System Integration,Last reviewed 332 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,STALE_REVIEW,MEDIUM,APP059,Staging Environment,Last reviewed 285 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,STALE_REVIEW,MEDIUM,APP060,Employee Self-Service Portal,Last reviewed 494 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,STALE_REVIEW,MEDIUM,APP061,Travel & Expense Management,Last reviewed 354 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,STALE_REVIEW,MEDIUM,APP063,File Sharing OneDrive,Last reviewed 259 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,STALE_REVIEW,MEDIUM,APP067,CI/CD Pipeline Azure DevOps,Last reviewed 787 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,STALE_REVIEW,MEDIUM,APP068,Container Registry ACR,Last reviewed 622 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,STALE_REVIEW,MEDIUM,APP073,EMEA Regional HR Portal,Last reviewed 719 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,STALE_REVIEW,MEDIUM,APP074,APAC Regional Finance Portal,Last reviewed 709 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,STALE_REVIEW,MEDIUM,APP075,Americas Logistics Portal,Last reviewed 314 days ago (threshold: 180 days),Schedule and complete access review within 14 days.,application_owner,2026-03-23,14
HIGH,MISSING_CONNECTION,MEDIUM,APP023,Port Agency Management,Required IAM product IAM001 not connected,Schedule connection with IAM team within 30 days.,application_owner,2026-04-08,30
HIGH,MISSING_CONNECTION,MEDIUM,APP026,CRM Salesforce,Required IAM product IAM003 not connected,Schedule connection with IAM team within 30 days.,application_owner,2026-04-08,30
HIGH,MISSING_CONNECTION,MEDIUM,APP039,Supplier Portal,Required IAM product IAM001 not connected,Schedule connection with IAM team within 30 days.,application_owner,2026-04-08,30
HIGH,MISSING_CONNECTION,MEDIUM,APP039,Supplier Portal,Required IAM product IAM003 not connected,Schedule connection with IAM team within 30 days.,application_owner,2026-04-08,30
HIGH,MISSING_CONNECTION,MEDIUM,APP055,Vessel Fuel Management,Required IAM product IAM004 not connected,Schedule connection with IAM team within 30 days.,application_owner,2026-04-08,30
HIGH,MISSING_CONNECTION,MEDIUM,APP061,Travel & Expense Management,Required IAM product IAM004 not connected,Schedule connection with IAM team within 30 days.,application_owner,2026-04-08,30
HIGH,MISSING_CONNECTION,MEDIUM,APP066,Code Repository GitHub Enterprise,Required IAM product IAM004 not connected,Schedule connection with IAM team within 30 days.,application_owner,2026-04-08,30
HIGH,MISSING_CONNECTION,MEDIUM,APP075,Americas Logistics Portal,Required IAM product IAM001 not connected,Schedule connection with IAM team within 30 days.,application_owner,2026-04-08,30
